accept	section	eco_id	eco_name	best_title	best_url
y		723	Al-Hajar montane woodlands and shrublands	Al Hajar montane woodlands	https://en.wikipedia.org/wiki/Al_Hajar_montane_woodlands
y		810	Arabian sand desert	Arabian Desert	https://en.wikipedia.org/wiki/Arabian_Desert
y		346	Arizona Mountains forests	Arizona/New Mexico Mountains ecoregion	https://en.wikipedia.org/wiki/Arizona/New_Mexico_Mountains_ecoregion
y		612	Bahamian-Antillean mangroves	Greater Antilles mangroves	https://en.wikipedia.org/wiki/Greater_Antilles_mangroves
y		564	Belizian pine savannas	Belizean pine forests	https://en.wikipedia.org/wiki/Belizean_pine_forests
y		565	Beni savanna	Llanos de Moxos	https://en.wikipedia.org/wiki/Llanos_de_Moxos
y		182	Brigalow tropical savanna	Brigalow Belt	https://en.wikipedia.org/wiki/Brigalow_Belt
y		691	Caledon conifer forests	Caledonian Forest	https://en.wikipedia.org/wiki/Caledonian_Forest
y		566	Campos Rupestres montane savanna	Campos rupestres	https://en.wikipedia.org/wiki/Campos_rupestres
y		599	Caribbean shrublands	La Costa xeric shrublands	https://en.wikipedia.org/wiki/La_Costa_xeric_shrublands
y		652	Central Anatolian steppe and woodlands	Central Anatolian deciduous forests	https://en.wikipedia.org/wiki/Central_Anatolian_deciduous_forests
y		38	Central bushveld	Bushveld	https://en.wikipedia.org/wiki/Bushveld
y		167	Chatham Island temperate forests	Chatham Islands	https://en.wikipedia.org/wiki/Chatham_Islands
y		292	Chhota-Nagpur dry deciduous forests	Chota Nagpur Plateau	https://en.wikipedia.org/wiki/Chota_Nagpur_Plateau
y		69	East African halophytics	Lake Natron	https://en.wikipedia.org/wiki/Lake_Natron
y		191	Eastern Australia mulga shrublands	Mulga Lands	https://en.wikipedia.org/wiki/Mulga_Lands
y		333	Eastern Canadian Forest-Boreal transition	Eastern forest–boreal transition	https://en.wikipedia.org/wiki/Eastern_forest%E2%80%93boreal_transition
y		185	Einasleigh upland savanna	Einasleigh Uplands	https://en.wikipedia.org/wiki/Einasleigh_Uplands
y		122	Ellsworth Mountains tundra	Ellsworth Land	https://en.wikipedia.org/wiki/Ellsworth_Land
y		199	Eyre and York mallee	Eyre Yorke Block	https://en.wikipedia.org/wiki/Eyre_Yorke_Block
y		462	Fernando de Noronha-Atol das Rocas moist forests	Fernando de Noronha	https://en.wikipedia.org/wiki/Fernando_de_Noronha
